"genes","logFC","logCPM","LR","PValue","FDR","Gene_Symbol"
"ENSG00000105887",-0.917995735932268,8.09935133154594,142.394646031092,7.97242722542091e-33,1.02836338780704e-28,"MTPN"
"ENSG00000183723",-1.15400409416432,6.06852061901063,127.33539030424,1.56888347404234e-29,1.01185139658361e-25,"CMTM4"
"ENSG00000112144",-0.943778134734988,5.29961154029195,123.352354891299,1.1675909015074e-28,5.02025167951464e-25,"CILK1"
"ENSG00000154642",-1.01075507469003,4.07685977219311,103.591669101659,2.48620427807694e-24,8.01738724572862e-21,"C21orf91"
"ENSG00000135250",-0.657797740469546,6.35709689742048,88.8590683160968,4.23965621816971e-21,1.09374651116342e-17,"SRPK2"
"ENSG00000158158",-1.21216241180042,4.98621969449287,86.2275908034016,1.60374454050125e-20,3.44778347132093e-17,"CNNM4"
"ENSG00000129187",-1.0980115395318,6.00381158616113,82.5474749655688,1.03162329165537e-19,1.90098697700894e-16,"DCTD"
"ENSG00000107789",-0.916160497829806,4.69228561081878,81.4615814560414,1.78701910115403e-19,2.88134492322322e-16,"MINPP1"
"ENSG00000198478",-1.36810841608573,3.94796181064198,80.7045691230952,2.62115386176879e-19,3.69581808443261e-16,"SH3BGRL2"
"ENSG00000085449",-0.709207387748628,5.35525442442547,80.5286549561419,2.86519736757315e-19,3.69581808443261e-16,"WDFY1"
"ENSG00000085491",-1.17463351263926,6.91076140841993,80.051778338691,3.64725748625257e-19,3.92049785959765e-16,"SLC25A24"
"ENSG00000284468",-1.17463351263926,6.91076140841993,80.051778338691,3.64725748625257e-19,3.92049785959765e-16,"SLC25A24"
"ENSG00000121644",-0.620233551909959,5.51982349325236,77.6050914103437,1.25845306828536e-18,1.2486758559856e-15,"DESI2"
"ENSG00000174695",-0.583770841618875,6.39045451823449,75.884473852723,3.00755577942747e-18,2.77103299991678e-15,"TMEM167A"
"ENSG00000100410",-1.15468223716546,4.86913001050633,68.3660182902194,1.35797653402185e-16,1.16776928748985e-13,"PHF5A"
"ENSG00000091039",-0.639367492296438,7.06577485272317,66.9816939306505,2.74040051823001e-16,2.20927664279055e-13,"OSBPL8"
"ENSG00000163558",-0.685242825121932,6.0412522519281,66.4500850854838,3.58866868920638e-16,2.72295514247489e-13,"PRKCI"
"ENSG00000198824",-0.585477179009764,5.36741537433121,65.5407611872028,5.69243512262731e-16,4.07926225815387e-13,"CHAMP1"
"ENSG00000116754",-0.707604931545778,6.88955701613445,65.0145935564705,7.43454383042027e-16,5.04727267729426e-13,"SRSF11"
"ENSG00000134352",-0.827783756449095,7.02817523897428,63.5475338035735,1.56543469801308e-15,1.00962710848353e-12,"IL6ST"
"ENSG00000227715",-0.874539877081453,7.21914035995119,63.3353956466068,1.74343197827107e-15,1.0708823375104e-12,"HLA-A"
"ENSG00000140526",-0.572136291254359,7.78487695834559,61.564199658746,4.28539980542555e-15,2.5126078222811e-12,"ABHD2"
"ENSG00000187325",-0.936478447315334,5.23822861677739,61.4545959279858,4.53071519626969e-15,2.54094327463838e-12,"TAF9B"
"ENSG00000198146",-0.63619067753356,5.40005216242086,59.7668491145649,1.06787025782148e-14,5.73935768984968e-12,"ZNF770"
"ENSG00000131724",-0.821747134008296,6.19615380262645,58.5485690637867,1.98333866117993e-14,1.02332341562239e-11,"IL13RA1"
"ENSG00000157911",-1.00194121523609,4.26914443956932,57.5151243913353,3.35390368715254e-14,1.66392321771464e-11,"PEX10"
"ENSG00000006607",-0.501153053322541,5.28270285579112,57.1498130711891,4.03846228604496e-14,1.92933796398867e-11,"FARP2"
"ENSG00000087111",-0.748380742209809,6.04599294272412,56.0936261272382,6.910077093366e-14,3.18332444383314e-11,"PIGS"
"ENSG00000095752",-1.25174479401848,5.29608403377799,55.643073862134,8.68985554767174e-14,3.86518781756613e-11,"IL11"
"ENSG00000117475",-0.567823617093642,4.89309494317531,54.2661494983378,1.75092216523457e-13,7.52838166978692e-11,"BLZF1"
"ENSG00000198431",-1.17965690450002,9.20995181698456,53.3010546432009,2.86152873588669e-13,1.1640275340294e-10,"TXNRD1"
"ENSG00000179119",-0.656337752671155,5.71698143788144,53.2831468809377,2.88773401728357e-13,1.1640275340294e-10,"SPTY2D1"
"ENSG00000112851",-0.636341344447356,6.70193554714735,52.867510705304,3.56823279345034e-13,1.39474650917321e-10,"ERBIN"
"ENSG00000102081",-0.756427689211345,5.93592830139804,52.5014108851002,4.29939348382305e-13,1.63111401611275e-10,"FMR1"
"ENSG00000196323",-0.560018961682023,5.35921554459792,51.7062438584127,6.44574373842937e-13,2.37553281377144e-10,"ZBTB44"
"ENSG00000142686",-0.667088685337147,3.65075069363389,51.3898350760804,7.57296419686913e-13,2.71343514376152e-10,"C1orf216"
"ENSG00000145779",-0.983911680006398,3.39036892928552,51.2550108451824,8.11134234613882e-13,2.75907086643336e-10,"TNFAIP8"
"ENSG00000213186",-0.620926527324925,4.49302889261555,51.2509532300181,8.1281256628008e-13,2.75907086643336e-10,"TRIM59"
"ENSG00000144320",-0.474452346078667,5.40250697364251,48.9707587549641,2.5980698111277e-12,8.59294935736825e-10,"LNPK"
"ENSG00000131381",-0.601308625810485,5.57994581436811,48.6702640048187,3.0282318733786e-12,9.76529073367765e-10,"RBSN"
"ENSG00000172292",-0.569165965896954,6.24637006577843,48.0459869214697,4.16338880180392e-12,1.30984273547485e-09,"CERS6"
"ENSG00000180758",0.630823619562685,4.70381849414143,46.9806662047443,7.16904302947857e-12,2.20174966755343e-09,"GPR157"
"ENSG00000101928",-0.517644818293113,4.2005432379985,46.5677561538858,8.85046384930765e-12,2.65493333005162e-09,"MOSPD1"
"ENSG00000099875",0.534048930216949,7.49346171096917,46.2597283045126,1.03571018733871e-11,3.03627856965501e-09,"MKNK2"
"ENSG00000164466",-0.771408407457227,6.60721385224677,46.0885450154272,1.13027382022217e-11,3.23986711267685e-09,"SFXN1"
"ENSG00000185127",-0.538044742673946,5.06177768922251,45.9546123533379,1.21024652101754e-11,3.39368910317504e-09,"C6orf120"
"ENSG00000116704",-0.666964112798567,4.7891368901597,45.7984554886572,1.31066840329288e-11,3.59708760299466e-09,"SLC35D1"
"ENSG00000131370",-0.541592116516267,6.28837695956773,45.6941003438247,1.3823849722762e-11,3.71487161612306e-09,"SH3BP5"
"ENSG00000174839",-0.774100485132129,4.67287336910959,45.2597738897664,1.72557219746691e-11,4.54248077043382e-09,"DENND6A"
"ENSG00000196177",-0.837343682121779,3.99464781299095,45.0913492002554,1.88054292936428e-11,4.85142464917396e-09,"ACADSB"
"ENSG00000111696",-0.642223832024616,4.53817126039618,45.0197015643726,1.95062052018434e-11,4.93354001761918e-09,"NT5DC3"
"ENSG00000167123",-0.961289313815444,5.6619024210451,44.8621709127044,2.11402772035638e-11,5.24400837786095e-09,"CERCAM"
"ENSG00000153187",-0.465128753299514,9.26833442415619,44.2367244026907,2.90970995802791e-11,7.08157523558528e-09,"HNRNPU"
"ENSG00000186767",-0.738907750814678,4.33845663284067,43.9545980069385,3.36081906217791e-11,8.02800094130239e-09,"SPIN4"
"ENSG00000180008",-0.504710544451581,6.24042957978989,42.8463449595515,5.92126129545364e-11,1.3886972627283e-08,"SOCS4"
"ENSG00000165732",-0.792983856524898,8.21414672452641,42.7960540273446,6.07545868023608e-11,1.39692908509543e-08,"DDX21"
"ENSG00000132031",0.832929240915835,3.16817868502376,42.7649107711045,6.17295587645859e-11,1.39692908509543e-08,"MATN3"
"ENSG00000198964",-0.520639945074787,5.58315964338808,42.6993490702982,6.38335275006872e-11,1.41963564005408e-08,"SGMS1"
"ENSG00000171729",-0.823240642886218,3.45996114160011,41.9585034887704,9.32310622985877e-11,2.03828385184658e-08,"TMEM51"
"ENSG00000051341",-0.559713302434197,4.70261179305664,41.5150663653823,1.16966008426243e-10,2.51457423781685e-08,"POLQ"
"ENSG00000139354",-0.574131666701042,5.18311134041692,41.3309456157907,1.28518124788012e-10,2.71763162564027e-08,"GAS2L3"
"ENSG00000119812",-0.428201803750766,5.88172282408131,40.9749701111702,1.54191346269084e-10,3.20792608955631e-08,"FAM98A"
"ENSG00000120805",-0.529898644044303,6.34185591834719,40.8929077513366,1.60803644090053e-10,3.29239080177397e-08,"ARL1"
"ENSG00000107443",-0.70371592862251,4.06906161720121,40.7779541409305,1.70546264031129e-10,3.4373066558399e-08,"CCNJ"
"ENSG00000035928",-0.500228897542705,5.93462311358611,40.3629737627873,2.10900293187022e-10,4.18523520279908e-08,"RFC1"
"ENSG00000213585",-0.713223520262182,8.08841378617624,39.3248754743737,3.58840533481807e-10,7.01315763845731e-08,"VDAC1"
"ENSG00000171943",-0.618069141883133,5.48428779851992,38.9267785429168,4.40003234646774e-10,8.47104734881902e-08,"SRGAP2C"
"ENSG00000167460",-0.790194117474208,8.96005032329563,38.6005631726733,5.20039158226797e-10,9.86468397348155e-08,"TPM4"
"ENSG00000136986",-0.360685746073328,6.96667179353124,38.4825977744427,5.52440905337772e-10,1.02630605909762e-07,"DERL1"
